"gid","index","lon","lat","cons_1985","cons_1986","cons_1987","cons_1988","cons_1989","cons_1990","cons_1991","cons_1992","cons_1993","cons_1994","cons_1995","cons_1996","cons_1997","cons_1998","cons_1999","cons_2000","cons_2001","cons_2002","cons_2003","cons_2004","cons_2005","cons_2006","cons_2007","cons_2008","cons_2009","cons_2010","cons_2011","cons_2012","cons_2013","cons_2014","cons_2015","cons_2016","cons_2017","pointedite","geom","arcodesmat","matopiba","bioma","cd_geocmu","uf"
3225,"3225","-45.259677855046078","-18.692692734468302","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Não consolidado","Não consolidado","Não consolidado","Não consolidado","Não consolidado","-","0101000020421200008D75BB1F3DA146C0DAB7A04F54B132C0","0","0","CERRADO","3143500","MG"
3885,"3885","-46.093261559178693","-15.912949185560624","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","Área urbana","-","010100002042120000BF52A9FEEF0B47C012C95D136ED32FC0","0","0","CERRADO","3104502","MG"
4846,"4846","-48.152570869480556","-21.095296248212193","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","-","010100002042120000E25E3771871348C0BC80BD55651835C0","0","0","CERRADO","3539509","SP"
397,"397","-48.761353791418919","-22.772491307307114","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","-","010100002042120000396A810A746148C00E5485FDC1C536C0","0","0","CERRADO","3541059","SP"
4921,"4921","-48.251973448709080","-12.549977137926152","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","-","0101000020421200003AD57CAA402048C08AE1799A961929C0","0","1","CERRADO","1716208","TO"
3091,"3091","-48.530921212655358","-20.136338679595163","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","-","010100002042120000C08DEE39F54348C0820A7A17E72234C0","0","0","CERRADO","3517406","SP"
3,"3","-46.456536788877699","-13.600252672707459","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","-","01010000204212000046D328CC6F3A47C0F23A7D5154332BC0","0","0","CERRADO","5219803","GO"
4,"4","-57.774887944228240","-13.531994116942787","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","-","010100002042120000334335872FE34CC00ADE6B8861102BC0","0","0","CERRADO","5102637","MT"
2317,"2317","-48.189684222275780","-20.817876632930989","Não consolidado","Não consolidado","Não consolidado","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","-","010100002042120000EF9E9592471848C0E899EE5C60D134C0","0","0","CERRADO","3531902","SP"
504,"504","-50.435794940855573","-12.718317603051219","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Água","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","-","010100002042120000545EED20C83749C0007E2A53C76F29C0","0","0","CERRADO","5220207","GO"
1813,"1813","-50.267326116029110","-22.519363245627879","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","-","0101000020421200001ADBFEBD372249C056B75AFDF48436C0","0","0","CERRADO","3514700","SP"
3766,"3766","-48.651042843167886","-20.267376536815704","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Agricultura Anual","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","-","010100002042120000B8D9335F555348C05857E9C9724434C0","0","0","CERRADO","3512100","SP"
3768,"3768","-51.767389398737784","-16.290322645688644","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","Pastagem Cultivada","-","0101000020421200001D70D9D039E249C05B85BC95524A30C0","0","0","CERRADO","5217203","GO"
3771,"3771","-54.720971533689543","-20.775939049781186","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","Vegetação nativa","-","010100002042120000934593CB485C4BC0E07F0AF1A3C634C0","0","0","CERRADO","5007901","MS"
2505,"2505","-48.070842520720475","-21.725809497133909","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","Cana-de-açucar","-","01010000204212000090D4225E110948C0FC50B5A6CEB935C0","0","0","CERRADO","3501707","SP"
