"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","pol_ha","pct_areapo","area_ha","classe","year"
"31","3103801","SUDESTE","MG","MINAS GERAIS","ARAPUÁ","CERRADO","0","0","17389.40000000000","17389.37044760000","0.99999830055","13353.69364450","15","2018"
"31","3103801","SUDESTE","MG","MINAS GERAIS","ARAPUÁ","CERRADO","0","0","17389.40000000000","17389.37044760000","0.99999830055","962.02201916","19","2018"
"35","3514700","SUDESTE","SP","SÃO PAULO","ECHAPORÃ","CERRADO","0","0","51525.80000000000","35792.38561950000","0.69464977971","7166.62346227","19","2018"
"35","3514700","SUDESTE","SP","SÃO PAULO","ECHAPORÃ","CERRADO","0","0","51525.80000000000","35792.38561950000","0.69464977971","8155.19128766","20","2018"
"31","3127107","SUDESTE","MG","MINAS GERAIS","FRUTAL","CERRADO","0","0","242696.50000000000","242465.44154999999","0.99904795310","84488.65649418","20","2018"
"31","3127107","SUDESTE","MG","MINAS GERAIS","FRUTAL","CERRADO","0","0","242696.50000000000","242465.44154999999","0.99904795310","57.66196818","21","2018"
"31","3127107","SUDESTE","MG","MINAS GERAIS","FRUTAL","CERRADO","0","0","242696.50000000000","242465.44154999999","0.99904795310","1481.61374120","24","2018"
"31","3127107","SUDESTE","MG","MINAS GERAIS","FRUTAL","CERRADO","0","0","242696.50000000000","242465.44154999999","0.99904795310","850.91264606","25","2018"
"22","2204659","NORDESTE","PI","PIAUÍ","ILHA GRANDE","CERRADO","0","0","13499.70000000000","13499.74925130000","1.00000364833","1427.71163425","33","2018"
"31","3130200","SUDESTE","MG","MINAS GERAIS","IGARATINGA","CERRADO","0","0","21834.30000000000","19073.94921260000","0.87357731700","126.09188252","12","2018"
"22","2204659","NORDESTE","PI","PIAUÍ","ILHA GRANDE","CERRADO","0","0","13499.70000000000","13499.74925130000","1.00000364833","4235.48473495","3","2018"
"35","3522604","SUDESTE","SP","SÃO PAULO","ITAPIRA","CERRADO","0","0","51841.60000000000","22558.91588580000","0.43515084191","738.23116928","3","2018"
"35","3525102","SUDESTE","SP","SÃO PAULO","JARDINÓPOLIS","CERRADO","0","0","50187.00000000000","50187.00089340000","1.00000001780","6419.24766731","19","2018"
"51","5100359","CENTRO-OESTE","MT","MATO GROSSO","ALTO BOA VISTA","CERRADO","0","0","224043.79999999999","98068.06418010000","0.43771826839","2748.28977472","13","2018"
"51","5100359","CENTRO-OESTE","MT","MATO GROSSO","ALTO BOA VISTA","CERRADO","0","0","224043.79999999999","98068.06418010000","0.43771826839","8267.79027151","15","2018"
"35","3500709","SUDESTE","SP","SÃO PAULO","AGUDOS","CERRADO","0","0","96670.80000000000","96670.79789710000","0.99999997825","27828.97119913","9","2018"
"35","3500303","SUDESTE","SP","SÃO PAULO","AGUAÍ","CERRADO","0","0","47455.40000000000","44673.37976880000","0.94137610828","8858.14376739","15","2018"
"52","5200308","CENTRO-OESTE","GO","GOIÁS","ALEXÂNIA","CERRADO","0","0","84789.30000000000","84789.32456130000","1.00000028967","4648.13318455","12","2018"
"52","5200308","CENTRO-OESTE","GO","GOIÁS","ALEXÂNIA","CERRADO","0","0","84789.30000000000","84789.32456130000","1.00000028967","935.29891628","24","2018"
"31","3103207","SUDESTE","MG","MINAS GERAIS","ARAÇAÍ","CERRADO","0","0","18753.80000000000","18753.81206070000","1.00000064311","1829.54361049","12","2018"
"35","3504305","SUDESTE","SP","SÃO PAULO","AVAÍ","CERRADO","0","0","54068.90000000000","47454.54286510000","0.87766799149","4259.53399721","19","2018"
"31","3146503","SUDESTE","MG","MINAS GERAIS","PAINS","CERRADO","0","0","42186.20000000000","42186.22038850000","1.00000048330","27125.63791599","15","2018"
"31","3146404","SUDESTE","MG","MINAS GERAIS","PAINEIRAS","CERRADO","0","0","63730.90000000000","63730.88663130000","0.99999979023","4927.72375796","9","2018"
"35","3536109","SUDESTE","SP","SÃO PAULO","PARDINHO","CERRADO","0","0","20989.40000000000","2280.27109871000","0.10863917495","251.69570022","3","2018"
"51","5100359","CENTRO-OESTE","MT","MATO GROSSO","ALTO BOA VISTA","CERRADO","0","0","224043.79999999999","98068.06418010000","0.43771826839","4100.17091733","19","2018"
"35","3504305","SUDESTE","SP","SÃO PAULO","AVAÍ","CERRADO","0","0","54068.90000000000","47454.54286510000","0.87766799149","2727.18579482","20","2018"
"52","5200175","CENTRO-OESTE","GO","GOIÁS","ÁGUA FRIA DE GOIÁS","CERRADO","0","0","202941.60000000001","202941.59376600001","0.99999996928","970.92659272","9","2018"
